session,privacy_mode,plays,raw_bytes,gzip_bytes,raw_bytes_per_play,gzip_bytes_per_play,median_verification_ms,plays_per_second,repetitions,timing_scope
session-000.json,full,18,60620,7150,3367.778,397.222,34.145221,527.160,7,parsed-payload in-memory verification
session-001.json,redacted,18,98240,9744,5457.778,541.333,37.379036,481.553,7,parsed-payload in-memory verification
session-002.json,hashed,18,40267,6479,2237.056,359.944,19.015562,946.593,7,parsed-payload in-memory verification
session-003.json,full,18,83671,8194,4648.389,455.222,29.327536,613.758,7,parsed-payload in-memory verification
session-004.json,redacted,18,97171,9689,5398.389,538.278,37.146461,484.568,7,parsed-payload in-memory verification
session-005.json,hashed,18,39681,6417,2204.500,356.500,18.975931,948.570,7,parsed-payload in-memory verification
session-006.json,full,18,53974,7153,2998.556,397.389,28.666831,627.903,7,parsed-payload in-memory verification
session-007.json,redacted,18,72852,9313,4047.333,517.389,29.874920,602.512,7,parsed-payload in-memory verification
session-008.json,hashed,18,39396,6395,2188.667,355.278,18.908595,951.948,7,parsed-payload in-memory verification
session-009.json,full,18,117928,8504,6551.556,472.444,35.890657,501.523,7,parsed-payload in-memory verification
session-010.json,redacted,18,73173,9314,4065.167,517.444,29.687243,606.321,7,parsed-payload in-memory verification
session-011.json,hashed,18,40199,6482,2233.278,360.111,18.934198,950.661,7,parsed-payload in-memory verification
session-012.json,full,18,60360,7207,3353.333,400.389,33.995713,529.479,7,parsed-payload in-memory verification
session-013.json,redacted,18,97620,9699,5423.333,538.833,37.013006,486.316,7,parsed-payload in-memory verification
session-014.json,hashed,18,39128,6377,2173.778,354.278,18.898652,952.449,7,parsed-payload in-memory verification
session-015.json,full,18,83075,8248,4615.278,458.222,29.551258,609.111,7,parsed-payload in-memory verification
session-016.json,redacted,18,97689,9765,5427.167,542.500,37.554089,479.309,7,parsed-payload in-memory verification
session-017.json,hashed,18,39611,6429,2200.611,357.167,18.729696,961.041,7,parsed-payload in-memory verification
session-018.json,full,18,54011,7029,3000.611,390.500,28.245516,637.269,7,parsed-payload in-memory verification
session-019.json,redacted,18,73183,9335,4065.722,518.611,29.660784,606.862,7,parsed-payload in-memory verification
session-020.json,hashed,18,39832,6482,2212.889,360.111,18.894654,952.650,7,parsed-payload in-memory verification
session-021.json,full,18,116910,8527,6495.000,473.722,35.782575,503.038,7,parsed-payload in-memory verification
session-022.json,redacted,18,72514,9294,4028.556,516.333,29.521723,609.721,7,parsed-payload in-memory verification
session-023.json,hashed,18,39203,6393,2177.944,355.167,18.712304,961.934,7,parsed-payload in-memory verification
session-024.json,full,18,60419,7266,3356.611,403.667,34.204292,526.250,7,parsed-payload in-memory verification
session-025.json,redacted,18,98385,9777,5465.833,543.167,37.620814,478.459,7,parsed-payload in-memory verification
session-026.json,hashed,18,39546,6404,2197.000,355.778,18.850011,954.907,7,parsed-payload in-memory verification
session-027.json,full,18,83044,8081,4613.556,448.944,29.199872,616.441,7,parsed-payload in-memory verification
session-028.json,redacted,18,98125,9743,5451.389,541.278,37.195437,483.930,7,parsed-payload in-memory verification
session-029.json,hashed,18,40325,6501,2240.278,361.167,18.926665,951.039,7,parsed-payload in-memory verification
session-030.json,full,18,54073,7102,3004.056,394.556,28.279931,636.494,7,parsed-payload in-memory verification
session-031.json,redacted,18,72586,9312,4032.556,517.333,29.400106,612.243,7,parsed-payload in-memory verification
session-032.json,hashed,18,38884,6365,2160.222,353.611,18.696033,962.771,7,parsed-payload in-memory verification
session-033.json,full,18,115797,8551,6433.167,475.056,35.872724,501.774,7,parsed-payload in-memory verification
session-034.json,redacted,18,72796,9293,4044.222,516.278,29.867350,602.665,7,parsed-payload in-memory verification
session-035.json,hashed,18,39618,6412,2201.000,356.222,18.869136,953.939,7,parsed-payload in-memory verification
session-036.json,full,18,60639,7150,3368.833,397.222,33.776312,532.918,7,parsed-payload in-memory verification
session-037.json,redacted,18,98259,9744,5458.833,541.333,37.026471,486.139,7,parsed-payload in-memory verification
session-038.json,hashed,18,40268,6496,2237.111,360.889,18.816538,956.605,7,parsed-payload in-memory verification
session-039.json,full,18,83690,8182,4649.444,454.556,29.254801,615.284,7,parsed-payload in-memory verification
session-040.json,redacted,18,97190,9679,5399.444,537.722,37.093479,485.260,7,parsed-payload in-memory verification
session-041.json,hashed,18,39682,6433,2204.556,357.389,18.749028,960.050,7,parsed-payload in-memory verification
session-042.json,full,18,53993,7156,2999.611,397.556,28.543954,630.606,7,parsed-payload in-memory verification
session-043.json,redacted,18,72871,9307,4048.389,517.056,29.813036,603.763,7,parsed-payload in-memory verification
session-044.json,hashed,18,39397,6421,2188.722,356.722,18.749600,960.020,7,parsed-payload in-memory verification
session-045.json,full,18,117947,8493,6552.611,471.833,35.643471,505.001,7,parsed-payload in-memory verification
session-046.json,redacted,18,73173,9316,4065.167,517.556,29.757444,604.891,7,parsed-payload in-memory verification
session-047.json,hashed,18,40199,6469,2233.278,359.389,18.938725,950.434,7,parsed-payload in-memory verification
session-048.json,full,18,60360,7223,3353.333,401.278,34.032930,528.900,7,parsed-payload in-memory verification
session-049.json,redacted,18,97620,9698,5423.333,538.778,37.368857,481.685,7,parsed-payload in-memory verification
session-050.json,hashed,18,39128,6384,2173.778,354.667,18.812749,956.798,7,parsed-payload in-memory verification
session-051.json,full,18,83075,8251,4615.278,458.389,29.524399,609.665,7,parsed-payload in-memory verification
session-052.json,redacted,18,97689,9753,5427.167,541.833,37.531001,479.604,7,parsed-payload in-memory verification
session-053.json,hashed,18,39611,6421,2200.611,356.722,18.913657,951.693,7,parsed-payload in-memory verification
session-054.json,full,18,54011,7034,3000.611,390.778,28.177841,638.800,7,parsed-payload in-memory verification
session-055.json,redacted,18,73183,9318,4065.722,517.667,29.499622,610.177,7,parsed-payload in-memory verification
session-056.json,hashed,18,39832,6492,2212.889,360.667,18.860378,954.382,7,parsed-payload in-memory verification
session-057.json,full,18,116910,8546,6495.000,474.778,35.730474,503.772,7,parsed-payload in-memory verification
session-058.json,redacted,18,72514,9309,4028.556,517.167,29.381492,612.631,7,parsed-payload in-memory verification
session-059.json,hashed,18,39203,6391,2177.944,355.056,18.757054,959.639,7,parsed-payload in-memory verification
