session,privacy_mode,plays,valid,exact_requests,redacted_requests,commitment_only_requests,verified_groundings,commitment_only_groundings,state_equivalent_plays,event_equivalent_plays,verification_ms,bytes
session-000.json,full,18,True,18,0,0,18,0,18,18,35.422682,138284
session-001.json,redacted,18,True,0,18,0,0,18,18,18,38.863406,210446
session-002.json,hashed,18,True,0,0,18,0,18,18,18,23.514149,81553
session-003.json,full,18,True,18,0,0,18,0,18,18,30.552311,146755
session-004.json,redacted,18,True,0,18,0,0,18,18,18,38.347128,209377
session-005.json,hashed,18,True,0,0,18,0,18,18,18,19.690066,80967
session-006.json,full,18,True,18,0,0,18,0,18,18,29.473801,117296
session-007.json,redacted,18,True,0,18,0,0,18,18,18,30.788333,154354
session-008.json,hashed,18,True,0,0,18,0,18,18,18,19.504058,80682
session-009.json,full,18,True,18,0,0,18,0,18,18,36.757432,195592
session-010.json,redacted,18,True,0,18,0,0,18,18,18,30.340624,154437
session-011.json,hashed,18,True,0,0,18,0,18,18,18,19.613754,81485
session-012.json,full,18,True,18,0,0,18,0,18,18,34.934628,138024
session-013.json,redacted,18,True,0,18,0,0,18,18,18,38.344835,209826
session-014.json,hashed,18,True,0,0,18,0,18,18,18,19.473481,80414
session-015.json,full,18,True,18,0,0,18,0,18,18,30.584891,146397
session-016.json,redacted,18,True,0,18,0,0,18,18,18,38.491209,210133
session-017.json,hashed,18,True,0,0,18,0,18,18,18,19.550456,80897
session-018.json,full,18,True,18,0,0,18,0,18,18,29.387509,117095
session-019.json,redacted,18,True,0,18,0,0,18,18,18,30.817537,154447
session-020.json,hashed,18,True,0,0,18,0,18,18,18,19.386669,81118
session-021.json,full,18,True,18,0,0,18,0,18,18,37.009103,194574
session-022.json,redacted,18,True,0,18,0,0,18,18,18,30.584380,153778
session-023.json,hashed,18,True,0,0,18,0,18,18,18,19.475846,80489
session-024.json,full,18,True,18,0,0,18,0,18,18,35.406071,138321
session-025.json,redacted,18,True,0,18,0,0,18,18,18,38.887381,210829
session-026.json,hashed,18,True,0,0,18,0,18,18,18,19.598646,80832
session-027.json,full,18,True,18,0,0,18,0,18,18,30.509470,146128
session-028.json,redacted,18,True,0,18,0,0,18,18,18,38.421849,210331
session-029.json,hashed,18,True,0,0,18,0,18,18,18,19.621849,81611
session-030.json,full,18,True,18,0,0,18,0,18,18,29.286700,117157
session-031.json,redacted,18,True,0,18,0,0,18,18,18,30.573210,153850
session-032.json,hashed,18,True,0,0,18,0,18,18,18,19.577824,80170
session-033.json,full,18,True,18,0,0,18,0,18,18,37.115172,193699
session-034.json,redacted,18,True,0,18,0,0,18,18,18,30.702949,154298
session-035.json,hashed,18,True,0,0,18,0,18,18,18,19.537951,80904
session-036.json,full,18,True,18,0,0,18,0,18,18,34.593665,138303
session-037.json,redacted,18,True,0,18,0,0,18,18,18,38.737768,210465
session-038.json,hashed,18,True,0,0,18,0,18,18,18,19.507916,81554
session-039.json,full,18,True,18,0,0,18,0,18,18,30.239975,146774
session-040.json,redacted,18,True,0,18,0,0,18,18,18,38.054586,209396
session-041.json,hashed,18,True,0,0,18,0,18,18,18,19.626896,80968
session-042.json,full,18,True,18,0,0,18,0,18,18,29.487194,117315
session-043.json,redacted,18,True,0,18,0,0,18,18,18,30.649191,154373
session-044.json,hashed,18,True,0,0,18,0,18,18,18,19.700065,80683
session-045.json,full,18,True,18,0,0,18,0,18,18,37.056023,195611
session-046.json,redacted,18,True,0,18,0,0,18,18,18,30.400435,154437
session-047.json,hashed,18,True,0,0,18,0,18,18,18,19.708150,81485
session-048.json,full,18,True,18,0,0,18,0,18,18,35.034168,138024
session-049.json,redacted,18,True,0,18,0,0,18,18,18,44.071565,209826
session-050.json,hashed,18,True,0,0,18,0,18,18,18,19.767481,80414
session-051.json,full,18,True,18,0,0,18,0,18,18,30.587285,146397
session-052.json,redacted,18,True,0,18,0,0,18,18,18,38.673260,210133
session-053.json,hashed,18,True,0,0,18,0,18,18,18,19.599637,80897
session-054.json,full,18,True,18,0,0,18,0,18,18,29.086104,117095
session-055.json,redacted,18,True,0,18,0,0,18,18,18,30.564040,154447
session-056.json,hashed,18,True,0,0,18,0,18,18,18,19.684767,81118
session-057.json,full,18,True,18,0,0,18,0,18,18,36.938854,194574
session-058.json,redacted,18,True,0,18,0,0,18,18,18,30.655732,153778
session-059.json,hashed,18,True,0,0,18,0,18,18,18,19.515309,80489
